question_id,round,arm,position,status,valid,duration_ms,law_ids,search_workflows,search_node_elapsed_ms,dependency_ready_ms,ready_wait_ms,run_ms,join_wait_ms,overlap_before_join_ms,read_status
l4-088-it-online-sales,1,ready,2,ok,1,8148.166,0,0,,,,,,,
l4-089-it-fintech,1,ready,2,ok,1,2026.84,0,0,,,,,,,
l4-090-it-manufacturer,1,ready,2,ok,1,1901.649,0,0,,,,,,,
l4-092-nl-automated-hiring,1,ready,2,ok,1,1963.683,0,0,,,,,,,
l4-093-nl-online-sales,1,ready,2,ok,1,2027.832,0,0,,,,,,,
l4-094-nl-fintech,1,ready,2,ok,1,3204.877,0,0,,,,,,,
l4-095-nl-manufacturer,1,ready,2,ok,1,1660.013,0,0,,,,,,,
l4-096-nz-digital-platform,1,ready,2,ok,1,16997.711,3,1,1295.238,6.039,0.004,227.3,0.01,227.3,ok
l4-097-nz-automated-hiring,1,ready,2,ok,1,21221.725,4,1,1166.451,6.166,0.005,247.795,0.011,247.795,ok
l4-099-nz-fintech,1,ready,2,ok,1,14994.961,2,1,1302.786,6.236,0.004,194.525,0.011,194.525,ok
l4-100-nz-manufacturer,1,ready,2,ok,1,22087.438,3,1,1303.896,6.492,0.005,220.508,0.007,220.508,ok
l1-001-jp,2,barrier,2,ok,1,27981.04,4,1,1038.221,5.881,939.477,91.689,91.732,0.0,ok
l1-002-jp,2,barrier,2,ok,1,35144.986,2,1,887.839,6.322,784.803,94.985,95.371,0.0,ok
l1-003-jp,2,barrier,2,ok,1,20882.899,1,1,1272.214,6.866,1148.478,115.636,115.687,0.0,ok
l1-005-jp,2,barrier,2,ok,1,19795.186,4,1,739.564,8.679,725.009,5.181,5.552,0.0,ok
l1-010-us,2,barrier,2,ok,1,23497.079,2,1,850.044,6.39,749.023,92.887,93.205,0.0,ok
l1-012-cn,2,barrier,2,ok,1,24144.106,2,1,989.595,7.473,887.38,93.569,93.614,0.0,ok
l1-013-cn,2,barrier,2,ok,1,19301.891,1,1,929.588,7.112,811.082,110.165,110.48,0.0,ok
l1-018-de,2,barrier,2,ok,1,17793.498,2,1,1060.566,7.592,1043.527,6.793,6.849,0.0,ok
l1-019-de,2,barrier,2,ok,1,12031.996,1,1,890.474,6.014,769.502,112.42,112.743,0.0,ok
l1-023-fr,2,barrier,2,ok,1,20176.68,1,1,973.337,7.393,845.795,115.273,115.582,0.0,ok
l1-024-fr,2,barrier,2,ok,1,26260.918,3,1,1042.712,7.81,916.715,113.464,114.09,0.0,ok
l1-025-fr,2,barrier,2,ok,1,34075.613,4,1,909.624,7.412,811.953,86.448,87.043,0.0,ok
l1-027-uk,2,barrier,2,ok,1,16857.621,2,1,955.566,7.632,853.559,93.204,93.256,0.0,ok
l1-031-ca,2,barrier,2,ok,1,19041.67,4,1,761.235,6.156,663.412,90.24,90.292,0.0,ok
l1-032-ca,2,barrier,2,ok,1,24147.772,1,1,973.211,6.986,847.921,117.591,117.639,0.0,ok
l1-033-ca,2,barrier,2,ok,1,24657.281,3,1,713.637,6.436,615.713,90.12,90.453,0.0,ok
l1-035-ca,2,barrier,2,ok,1,23098.068,1,1,1074.577,7.287,972.487,92.712,93.025,0.0,ok
l1-036-au,2,barrier,2,ok,1,18824.434,5,1,862.893,6.136,763.803,90.234,90.279,0.0,ok
l1-037-au,2,barrier,2,ok,1,19456.181,2,1,835.565,7.615,733.096,93.569,93.85,0.0,ok
l1-038-au,2,barrier,2,ok,1,33677.99,5,1,897.915,5.464,819.315,70.08,70.123,0.0,ok
l1-039-au,2,barrier,2,ok,1,16647.849,1,1,1091.243,5.912,992.252,91.518,91.563,0.0,ok
l1-040-au,2,barrier,2,ok,1,20995.461,3,1,974.004,6.788,867.862,95.954,97.238,0.0,ok
l1-041-sg,2,barrier,2,ok,1,25817.469,1,1,969.277,6.251,869.217,88.11,88.151,0.0,ok
l1-042-sg,2,barrier,2,ok,1,20065.654,2,1,1010.82,5.953,907.771,89.412,89.456,0.0,ok
l1-044-sg,2,barrier,2,ok,1,19048.913,3,1,1351.062,6.132,1245.853,94.061,94.111,0.0,ok
l1-046-vn,2,barrier,2,ok,1,14399.749,1,1,884.597,7.693,871.303,5.003,5.044,0.0,ok
l1-049-vn,2,barrier,2,ok,1,26704.967,2,1,791.041,5.799,688.29,96.123,96.166,0.0,ok
l1-050-vn,2,barrier,2,ok,1,21654.384,4,1,929.392,5.773,910.298,11.716,11.763,0.0,ok
l1-051-th,2,barrier,2,ok,1,17667.796,1,1,784.466,5.703,688.682,88.985,89.025,0.0,ok
l1-052-th,2,barrier,2,ok,1,26943.981,1,1,947.979,7.411,847.091,92.131,97.574,0.0,ok
l1-053-th,2,barrier,2,ok,1,20354.387,1,1,846.172,6.938,745.608,92.035,92.072,0.0,ok
l1-054-th,2,barrier,2,ok,1,17882.962,2,1,837.183,7.905,820.817,6.617,7.3,0.0,ok
l1-055-th,2,barrier,2,ok,1,19567.179,2,1,858.419,6.493,763.972,86.724,86.767,0.0,ok
l1-059-id,2,barrier,2,ok,1,34913.413,1,1,1269.402,6.711,1169.855,91.243,91.544,0.0,ok
l1-060-id,2,barrier,2,ok,1,16252.357,3,1,1100.471,6.238,1005.683,87.638,87.687,0.0,ok
l1-062-my,2,barrier,2,ok,1,29198.194,1,1,1270.838,7.27,1171.487,90.515,90.822,0.0,ok
l1-065-my,2,barrier,2,ok,1,23830.379,3,1,1057.325,6.106,961.762,87.933,88.41,0.0,ok
l1-068-ph,2,barrier,2,ok,1,25594.309,1,1,913.947,6.241,786.395,119.606,119.648,0.0,ok
l1-070-ph,2,barrier,2,ok,1,20411.267,3,1,957.189,9.086,831.251,114.383,116.067,0.0,ok
l1-075-in,2,barrier,2,ok,1,22246.735,1,1,1149.802,8.786,1044.64,94.711,94.765,0.0,ok
l1-078-br,2,barrier,2,ok,1,19898.905,1,1,1348.407,5.134,1219.08,123.298,123.355,0.0,ok
l1-081-es,2,barrier,2,ok,1,29437.95,3,1,1189.552,6.036,969.242,212.002,212.084,0.0,ok
l1-082-es,2,barrier,2,ok,1,39944.64,5,1,1075.906,5.981,803.826,259.897,259.94,0.0,ok
l1-085-es,2,barrier,2,ok,1,24031.871,1,1,976.227,8.348,826.482,137.447,137.49,0.0,ok
l1-091-nl,2,barrier,2,ok,1,7962.051,0,0,,,,,,,
l1-092-nl,2,barrier,2,ok,1,7374.029,0,0,,,,,,,
l1-094-nl,2,barrier,2,ok,1,6255.958,0,0,,,,,,,
l1-095-nl,2,barrier,2,ok,1,8786.892,0,0,,,,,,,
l1-097-nz,2,barrier,2,ok,1,23620.658,3,1,1089.438,6.192,868.992,211.101,211.146,0.0,ok
l1-098-nz,2,barrier,2,ok,1,19261.346,1,1,1296.577,7.388,1170.971,116.707,116.75,0.0,ok
l2-001-jp-data-rights,2,barrier,2,ok,1,16026.22,1,1,1668.803,7.628,1300.084,359.922,359.963,0.0,ok
l2-002-jp-breach,2,barrier,2,ok,1,20123.237,3,1,1386.41,8.069,1162.544,214.968,215.01,0.0,ok
l2-003-jp-transfer,2,barrier,2,ok,1,13440.334,2,1,1287.523,8.857,935.114,341.899,341.943,0.0,ok
l2-010-us-worker,2,barrier,2,ok,1,16768.607,4,1,1234.021,8.567,1046.552,176.945,178.895,0.0,ok
l2-013-cn-transfer,2,barrier,2,ok,1,12221.926,1,1,1264.931,8.817,838.607,187.607,187.65,0.0,ok
l2-017-de-breach,2,barrier,2,ok,1,10511.793,2,1,1169.218,6.18,947.382,212.917,212.96,0.0,ok
l2-022-fr-breach,2,barrier,2,ok,1,16081.851,2,1,1222.849,6.457,999.767,212.053,212.096,0.0,ok
l2-024-fr-consumer,2,barrier,2,ok,1,13843.068,3,1,1289.489,5.968,1090.781,187.708,187.751,0.0,ok
l2-026-uk-data-rights,2,barrier,2,ok,1,18177.198,3,1,1388.855,6.268,1026.626,355.069,355.113,0.0,ok
l2-029-uk-consumer,2,barrier,2,ok,1,17990.85,2,1,1146.286,6.518,946.186,191.615,191.661,0.0,ok
l2-034-ca-consumer,2,barrier,2,ok,1,13796.127,1,1,1172.449,5.886,973.484,192.228,192.272,0.0,ok
l2-035-ca-worker,2,barrier,2,ok,1,12123.734,2,1,1158.51,5.883,977.386,173.668,173.717,0.0,ok
l2-036-au-data-rights,2,barrier,2,ok,1,22478.24,2,1,1172.958,6.569,943.917,220.79,220.831,0.0,ok
l2-038-au-transfer,2,barrier,2,ok,1,14816.998,2,1,1325.968,5.954,984.369,333.195,333.5,0.0,ok
l2-039-au-consumer,2,barrier,2,ok,1,19051.259,3,1,1028.607,6.557,832.73,188.001,188.045,0.0,ok
